product_id,product_name,$price,$url,$image,category,price_range,rider_category,frame_size,frame,front_suspension,rear_suspension,without_suspension,wheels_type,tires,shifters,front_derailleur,rear_derailleur,crank,cassette,pedals,saddle,seat_post,handlebars,stem,headset,brakeset
Madone 5.1 WSD-47 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-50 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-52 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-54 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-56 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 11-25, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-47 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,47 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer, SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-50 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,50 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-52 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,52 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-54 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,54 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
Madone 5.1 WSD-56 cm,Madone 5.1 WSD,"$3,459.99",http://www.trekbikes.com/us/en/bikes/women/road/madone51wsd/,http://www.trekbikes.com/images/bikes/2009/medium/madone51wsd_blue.jpg,road,"3,001 - 5,000",Adult - Female,56 cm,OCLV Black Carbon,,,"Bontrager Race Lite, carbon w/E2 aluminum steerer; SpeedTrap compatible",Bontrager Race,"Bontrager Race Lite, 700x23c, folding","Shimano Ultegra SL STI, 10 speed",Shimano Ultegra,Shimano Ultegra,Shimano Ultegra 52/39/30,"Shimano 105 12-27 - triple, 10 speed",,Bontrager inForm R2 WSD,Carbon seat mast cap,"Bontrager VR WSD, 31.8mm","Bontrager Race Lite, 7 degree, 31.8mm","Cane Creek IS-2 Integrated w/cartridge bearings, sealed, alloy; 1-1/8"" top, 1.5"" bottom",Shimano Ultegra w/Shimano Ultegra STI levers
